AreaName,Year,GroupName,SubGroupName,AutoTheftCoordinatedTraced,AutoTheftRecovered,AutoTheftStolen,SuccessRate
Meghalaya,2004,AT6-Total,6. Total (Sum of 1-5 Above),0,38,140,0.271428571
Mizoram,2004,AT6-Total,6. Total (Sum of 1-5 Above),0,1,1,1
Nagaland,2004,AT6-Total,6. Total (Sum of 1-5 Above),12,25,122,0.204918033
Odisha,2004,AT6-Total,6. Total (Sum of 1-5 Above),158,374,1404,0.266381766
Puducherry,2004,AT6-Total,6. Total (Sum of 1-5 Above),0,183,322,0.568322981
Punjab,2004,AT6-Total,6. Total (Sum of 1-5 Above),292,490,1188,0.412457912
Rajasthan,2004,AT6-Total,6. Total (Sum of 1-5 Above),99,1583,6395,0.247537138
Sikkim,2004,AT6-Total,6. Total (Sum of 1-5 Above),0,5,6,0.833333333
Tamil Nadu,2004,AT6-Total,6. Total (Sum of 1-5 Above),2631,2867,4005,0.715855181
Tripura,2004,AT6-Total,6. Total (Sum of 1-5 Above),0,18,36,0.5
Uttar Pradesh,2004,AT6-Total,6. Total (Sum of 1-5 Above),85,1753,8452,0.207406531
Uttarakhand,2004,AT6-Total,6. Total (Sum of 1-5 Above),0,112,471,0.237791932
West Bengal,2004,AT6-Total,6. Total (Sum of 1-5 Above),0,534,2668,0.200149925
Andaman & Nicobar Islands,2005,AT6-Total,6. Total (Sum of 1-5 Above),0,6,6,1
Andhra Pradesh,2005,AT6-Total,6. Total (Sum of 1-5 Above),0,2670,5465,0.488563586
Arunachal Pradesh,2005,AT6-Total,6. Total (Sum of 1-5 Above),0,33,119,0.277310924
Assam,2005,AT6-Total,6. Total (Sum of 1-5 Above),15,267,957,0.278996865
Bihar,2005,AT6-Total,6. Total (Sum of 1-5 Above),0,226,2134,0.105904405
Chandigarh,2005,AT6-Total,6. Total (Sum of 1-5 Above),0,201,579,0.347150259
Chhattisgarh,2005,AT6-Total,6. Total (Sum of 1-5 Above),0,642,1619,0.396541075
Dadra & Nagar Haveli,2005,AT6-Total,6. Total (Sum of 1-5 Above),0,8,22,0.363636364
Daman & Diu,2005,AT6-Total,6. Total (Sum of 1-5 Above),4,7,27,0.259259259
Delhi,2005,AT6-Total,6. Total (Sum of 1-5 Above),255,2249,8883,0.253180232
Goa,2005,AT6-Total,6. Total (Sum of 1-5 Above),0,61,195,0.312820513
Gujarat,2005,AT6-Total,6. Total (Sum of 1-5 Above),413,1776,7098,0.250211327
Haryana,2005,AT6-Total,6. Total (Sum of 1-5 Above),0,1851,5276,0.350833965
Himachal Pradesh,2005,AT6-Total,6. Total (Sum of 1-5 Above),0,94,172,0.546511628
Jammu & Kashmir,2005,AT6-Total,6. Total (Sum of 1-5 Above),11,109,504,0.216269841
Jharkhand,2005,AT6-Total,6. Total (Sum of 1-5 Above),10,143,773,0.184993532
Karnataka,2005,AT6-Total,6. Total (Sum of 1-5 Above),94,1403,5977,0.234733144
Kerala,2005,AT6-Total,6. Total (Sum of 1-5 Above),16,562,1946,0.288797533
Madhya Pradesh,2005,AT6-Total,6. Total (Sum of 1-5 Above),0,2096,6551,0.319951152
Maharashtra,2005,AT6-Total,6. Total (Sum of 1-5 Above),439,3032,12213,0.248260051
Manipur,2005,AT6-Total,6. Total (Sum of 1-5 Above),7,7,92,0.076086957
Meghalaya,2005,AT6-Total,6. Total (Sum of 1-5 Above),0,20,119,0.168067227
Mizoram,2005,AT6-Total,6. Total (Sum of 1-5 Above),0,1,1,1
Nagaland,2005,AT6-Total,6. Total (Sum of 1-5 Above),1,56,248,0.225806452
Odisha,2005,AT6-Total,6. Total (Sum of 1-5 Above),110,436,1626,0.268142681
Puducherry,2005,AT6-Total,6. Total (Sum of 1-5 Above),143,143,235,0.608510638
Punjab,2005,AT6-Total,6. Total (Sum of 1-5 Above),259,523,1190,0.439495798
Rajasthan,2005,AT6-Total,6. Total (Sum of 1-5 Above),283,1355,6429,0.210763727
Sikkim,2005,AT6-Total,6. Total (Sum of 1-5 Above),0,4,5,0.8
Tamil Nadu,2005,AT6-Total,6. Total (Sum of 1-5 Above),2475,2624,3583,0.732347195
Tripura,2005,AT6-Total,6. Total (Sum of 1-5 Above),0,10,57,0.175438596
Uttar Pradesh,2005,AT6-Total,6. Total (Sum of 1-5 Above),78,1704,7619,0.223651398
Uttarakhand,2005,AT6-Total,6. Total (Sum of 1-5 Above),0,130,521,0.249520154
West Bengal,2005,AT6-Total,6. Total (Sum of 1-5 Above),63,470,2435,0.19301848
Andaman & Nicobar Islands,2006,AT6-Total,6. Total (Sum of 1-5 Above),0,6,6,1
Andhra Pradesh,2006,AT6-Total,6. Total (Sum of 1-5 Above),102,2201,5470,0.4023766
Arunachal Pradesh,2006,AT6-Total,6. Total (Sum of 1-5 Above),0,22,74,0.297297297
Assam,2006,AT6-Total,6. Total (Sum of 1-5 Above),26,453,1405,0.322419929
Bihar,2006,AT6-Total,6. Total (Sum of 1-5 Above),0,312,2023,0.154226396
